id,round,treatmentname,value,guess,highgroup,mean_theory,var_theory,alpha,bias,signal,alpha_i,bias_i,signal_i,diff,mse
3.0,7,Baseline,37,76.0,1.0,60.0,100.0,0.1746192,1.5192053,77.54438,0.9068323,-0.4615898,236.6877,39.0,605.52
3.0,8,Baseline,62,64.0,1.0,60.0,100.0,0.1746192,1.5192053,63.00564,0.9068323,-0.4615898,107.88772,2.0,605.52
3.0,9,Baseline,45,46.0,0.0,40.0,100.0,0.18409029,-2.109864,49.93966,1.1634729,23.102654,144.62073,1.0,605.52
3.0,10,Baseline,47,15.0,0.0,40.0,100.0,0.18409029,-2.109864,11.945259,1.1634729,23.102654,334.2546,-32.0,605.52
3.0,11,Baseline,44,47.0,0.0,40.0,100.0,0.18409029,-2.109864,51.165283,1.1634729,23.102654,138.50351,3.0,605.52
3.0,12,Baseline,36,66.0,0.0,40.0,100.0,0.18409029,-2.109864,74.45217,1.1634729,23.102654,22.276287,30.0,605.52
3.0,13,Baseline,39,45.0,0.0,40.0,100.0,0.18409029,-2.109864,48.71403,1.1634729,23.102654,150.73796,6.0,605.52
3.0,14,Baseline,51,56.0,0.0,40.0,100.0,0.18409029,-2.109864,62.195915,1.1634729,23.102654,83.44851,5.0,605.52
3.0,15,Baseline,58,54.0,0.0,40.0,100.0,0.18409029,-2.109864,59.744663,1.1634729,23.102654,95.68295,-4.0,605.52
3.0,16,Baseline,52,77.0,0.0,40.0,100.0,0.18409029,-2.109864,87.93406,1.1634729,23.102654,-45.013157,25.0,605.52
3.0,17,Baseline,46,46.0,1.0,60.0,100.0,0.1746192,1.5192053,41.19752,0.9068323,-0.4615898,-85.31224,0.0,605.52
3.0,18,Baseline,69,65.0,1.0,60.0,100.0,0.1746192,1.5192053,64.2172,0.9068323,-0.4615898,118.62105,-4.0,605.52
3.0,19,Baseline,37,77.0,0.0,40.0,100.0,0.18409029,-2.109864,87.93406,1.1634729,23.102654,-45.013157,40.0,605.52
3.0,20,Baseline,45,77.0,0.0,40.0,100.0,0.18409029,-2.109864,87.93406,1.1634729,23.102654,-45.013157,32.0,605.52
3.0,21,Baseline,50,77.0,1.0,60.0,100.0,0.1746192,1.5192053,78.75594,0.9068323,-0.4615898,247.42102,27.0,605.52
3.0,22,Baseline,61,78.0,0.0,40.0,100.0,0.18409029,-2.109864,89.15968,1.1634729,23.102654,-51.13038,17.0,605.52
3.0,23,Baseline,31,68.0,0.0,40.0,100.0,0.18409029,-2.109864,76.90343,1.1634729,23.102654,10.041843,37.0,605.52
3.0,24,Baseline,46,75.0,0.0,40.0,100.0,0.18409029,-2.109864,85.4828,1.1634729,23.102654,-32.778713,29.0,605.52
3.0,25,Baseline,34,88.0,0.0,40.0,100.0,0.18409029,-2.109864,101.41594,1.1634729,23.102654,-112.302605,54.0,605.52
3.0,26,Baseline,59,46.0,1.0,60.0,100.0,0.1746192,1.5192053,41.19752,0.9068323,-0.4615898,-85.31224,-13.0,605.52
3.0,27,Baseline,33,77.0,0.0,40.0,100.0,0.18409029,-2.109864,87.93406,1.1634729,23.102654,-45.013157,44.0,605.52
3.0,28,Baseline,44,54.0,1.0,60.0,100.0,0.1746192,1.5192053,50.89002,0.9068323,-0.4615898,0.55441034,10.0,605.52
3.0,29,Baseline,56,45.0,1.0,60.0,100.0,0.1746192,1.5192053,39.98596,0.9068323,-0.4615898,-96.04557,-11.0,605.52
3.0,30,Baseline,67,56.0,1.0,60.0,100.0,0.1746192,1.5192053,53.31314,0.9068323,-0.4615898,22.021072,-11.0,605.52
3.0,31,Baseline,24,67.0,0.0,40.0,100.0,0.18409029,-2.109864,75.6778,1.1634729,23.102654,16.159065,43.0,605.52
3.0,32,Baseline,74,67.0,1.0,60.0,100.0,0.1746192,1.5192053,66.64032,0.9068323,-0.4615898,140.0877,-7.0,605.52
3.0,33,Baseline,60,67.0,1.0,60.0,100.0,0.1746192,1.5192053,66.64032,0.9068323,-0.4615898,140.0877,7.0,605.52
3.0,34,Baseline,79,58.0,1.0,60.0,100.0,0.1746192,1.5192053,55.736263,0.9068323,-0.4615898,43.487736,-21.0,605.52
3.0,35,Baseline,55,64.0,1.0,60.0,100.0,0.1746192,1.5192053,63.00564,0.9068323,-0.4615898,107.88772,9.0,605.52
3.0,36,Baseline,52,65.0,1.0,60.0,100.0,0.1746192,1.5192053,64.2172,0.9068323,-0.4615898,118.62105,13.0,605.52
3.0,37,Baseline,60,54.0,1.0,60.0,100.0,0.1746192,1.5192053,50.89002,0.9068323,-0.4615898,0.55441034,-6.0,605.52
3.0,38,Baseline,37,65.0,0.0,40.0,100.0,0.18409029,-2.109864,73.22655,1.1634729,23.102654,28.393509,28.0,605.52
